id,sentiment,raw_text
row_39,1,) که با انتخاب آن‌ها،  برنامه مورد به صورت کوچک شده اجرا می‌شود و شما می‌تواند همزمان با کارهای دیگر،  همیشه این برنامه را بر روی صفحه خود همراه داشته باشید.
row_40,1,همسرتون توییتر نداره این تویتت رو به بینه ؟ 
row_41,0,دو نفر با یه نفر سخته خو 
row_42,1,یکساله خریدم نه از دی جی از بازار خریدم کیفیت خوبی داره  باریکه شیکه قابلیت هاشم به نسبت قیمت خوبه فقط صفحه ال ای دی خیلی حساسه بهتره یه صفحه نمایش دحد صد هزارتومان براش بگیرید به هیچ عنوان در کیفیتش اثری نداره و نور هم منعکس نمیشه 
row_43,1,سلام و عرض خسته نباشید به شرکت دیجی کالا...  من مدتی هست که منتظر موجود کردن این کالا هستم.  ممنون میشم که مدل ترازو BG55 در لیست فروش قرار بدید و به نظر من خیلی ها در انتظار این دستگاه شیک و با قیمت مناسب هستن.  با تشکر.
row_44,1,تو سرمای استخون سوز شهرم با برفی که نمه نمه می بارید؛توی مدرسه با معلم پسرم چند دقیقه کار داشتم،اومدم میبینم فسقلم با چند تا از دوستاش با یه پاکت آبمیوه لِه شده دارن فوتبال بازی میکننآخ که چقدر انرژی دارن،چقدر دنیای کودکانه شون شاد و نابه،چقدر دلم میخواد جاش باشم
row_45,0,هنوز #ارزشی های خائن و وطن فروش شروع به خوشحالی و پایکوبی نکردن بعد از خبر #تحریم_ظریف www.link.com
row_46,0,"QM محترم چرا باید تشویقی را مدت مکالمه کارشناس بذاری که مشترک ناراضی باشه از راهنمایی‌های کارشناس ؟!
#2020 #خدمات_همراه_اول 👎🏻"
row_47,1,از لحاظ سرعت و قدرت پردازنده وکارت گرافیک و        خیلی عالیه من دهها نرم افزار طراحی سه بعدی و گرافیکی و برنامه نویسی روش نصب کردم و بدون مشکل داره واسم کار میکنه   مشکل اصلی این مدل کیفیت بد صفحه نمایشه  ولی در کل از خریدم راضی ام  
row_48,1,من عادت دارم حتی ساعت یک شبم که باشه وقتی حالم خوب نیست آهنگو با صدای بلند تو خونه بدون هندزفری تو تاریکی گوش بدم:) الان دلم میخواس میتونستم نامجو رو بغل کنم! کاش اینستا مثل توییتر بود میشد هر لحظه هر چیزی که دلت خواست رو بنویسی دارم عاشق توییتر میشم:)
row_49,1,کیفیت دید از زاویه هم بهترین است.
row_50,1,به هر صورت همان‌طور که گفتیم،  DV300F علاوه بر نمایشگر دوم و Wi-Fi داخلی که به آن‌ها مجهز است،  در کل دوربین بسیار کوچک، بسیار باریک، بسیار سبک، مستحکم و خوش ساختی است.
row_51,1,با آرزوی موفقیت و پیروزی #all_for_teammeli #ایران #جام_جهانی_۲۰۱۸ #بورس #سهام #ده_درصد
row_52,1,عالیه ازهرلحاظ قدرتمنده 
row_53,0,کتاب خیلی خوبیه ولی متاسفانه طاقچه همه تصاویر کتاب رو حذف کرده. نویسنده بسیاری از مطالب نوروساینس رو با ارجاع به تصاویر توضیح داده.
row_54,0,خیلی جالبه الان که اینترنت تو ایران قطع شده رباتایی که از خارج هدایت میشدن انلاین نیست !! قابل توجه ماله کشا و اصلاح طلبا و حرومزاده ها! لعنت بهت جمهوری اسلامی #Iranprotets #TwitterBanKhamenei
row_55,0,"بعد از حادثه مکتب و کشته شدن کودکان چیزی که از همه آزار دهنده‌تر بود دیدن کامنت فیسبوک کسانی بود که از ای حادثه یا احساس رضایت داشتن یا به نحوی حادثه را توجیح میکردند.
یعنی یک انسان چقدر باید بی رحم و سنگدل باشه که از کشته شدن ده‌ها کودک احساس شادی کند.
 #StopHazaraGenocide"
row_56,0,چرا روی جنس قیمت ۱۸۹۵۰ است ولی قیمت سایت ۲۴۹۵۰. است!!!!!
row_57,1,"چه زیبا باشد آیت الله رئیسی خادم امام هشتم
در هشتمین روز دهه کرامت ، هشتمین رئیس جمهور ایران شود و جشن میلاد با سعادت امام هشتم؏ و خادمش را باهم بگیریم ...

-به امید پیروزی✌️🏻
#کاندیدای_اجماع_ملی
#رئیسی"
row_58,0,"صدای راوی افتضاحه
صدای بد و فاقد تکنیک گویندگی به طوریکه به زور می تونید گوش بدید ولی کتاب خوبی هست"
row_59,0,"منطقت رو گاییدم #اخوند
#کرونا www.link.com"
row_60,1,"New photo posted in سرمایه گذاری در مسکن و املاک تهران: '🔴🔴🔴
#فروش
۱۰۳متر
کف سنگ آنتیک
طبقه ۳
۲خواب
کمد دیواری
 نورگیر عالی
 بسیار خوش نقش
پارکینگ+ انباری
دسترسی عالی
کد:⏪s42291⏩
💰قیمت:850,000,000
📱۰۹۳۶۳۲۷۲۸۲۳آذرمهد
☎️۴۴۷۳۳۳۲۰املاک صدف
@username' www.link.com"
row_61,1,با قیمت عالی از دیجیکالا خریدم.بسیار راضی هستم هم سبک و شیکه توصیه میکنم حتما بگیرید
row_62,0,"...بیشتر از ماسک #ویروس از طریق سطوح منتقل میشه(مثل سطح کت) یا مثلا اگر کسی به این اقا دست بده و بزنه ب صورتش (یا هرسطح مخاطی دیگ مثل چشم و...) ممکنه مبتلا بشه چرا که کرونا بین 2 تا 14 روز میتونه تو بدن فرد مبتلا مخفی بشه! نکته بعد امار دروغ 50 نفر کشته این فرد تو قمه...
(2/4)"
row_63,0,"تحریم کنندگان #انتخابات هروقت متوجه شدین دموکراسی یعنی هرکس حق داره ازادنه در انتخابات شرکت کنه یا نکنه
بعد بیاین حرف بزنید
فعلا فحش میدین باریکلا"
row_64,1,من گوشي رو تا روشن کردم پيام آپديت داد که نشون ميده ساپورت نرم افزاري خوبي هم داره .
row_65,1,سلام -درود بر شرف شما
row_66,0,سیب زمینی بیات بود مرغ بوی ضخم میداد اصلا راضی نبودم
row_67,1,یه دو روز سایه‌ام بالا سرتون نبودا، کارتون به دادگاه کشید؟!
row_68,0,سلام من اين پرينترو از يه نمايندگي  hp گرفتم و بدون گارانتي متاسفانه 3 ماه بعد از استفاده هدش سوخت و کلا دستگاه بدون استفاده شد ، هدش رو با کلي درد سر گير آوردم ولي قيمتش نصف قيمت دستگاه بود و از خريدش منصرف شدم و الان فقط اسکنش کار ميکنه پيشنهاد ميکنم پرينتر ليزري بخرين ممکن وقت خريد پول بيشتري رو پرداخت کنين ولي خيالتون از خيلي از جهات راحت ميشه.
row_69,0,"ماکه هرچی به این دوقلوها میگیم نزدیک هم نشید باز گوش نمیکنن انگار کش دارن ،جداشون میکنی باز میبینی بهم رسیدن.آخه یکیشون سرماخوردگی داره.
#همه_باهم_علیه_کرونا www.link.com"
row_70,0,کاش مثل s5  ضد اب بود
row_71,1,#مهدی‌جان شب جمعه است، بیاحال مرا بهترکن فکر دلواپسیِ قلب منه مضطر کن این‌شب‌جمعه اگرمقصدتوکرببلاست نزد ارباب دعایی به منه نوکر کن 
row_72,1,درود به شرفتان که برای آزادی خودتان تلاش میکید #AlternativeIsPahlavi
row_73,1,ساخت ایران ولی خیلی خوبه 
row_74,0,من حدودا 2 ماه پیش این ادوتویلت را از دیجیکالا خریدم. از دیجیکالا متشکرم که بعد از 1 روز به بهترین شکل ممکن به من تحویل داد.  اما در مورد این ادوتویلت میتونم بگم که رایحه بسیار دلنشین و خاصی داره که نزدیک به هیچ یک از عطر های دیگه ای که میشناسم نیست،ولی متاسفانه پخش بو و ماندگاریش کمه حدود 3 ساعت
row_75,1,خیلی کتاب خوبیه
row_76,1,اگه هم pin رو روش فعال کرده باشي روزي يکي دو بار ازت pin رو ميخواد.
row_77,0,بله این خودکار نیس روان نویسه و خیلی هم روان نیس بعضی وقتها پررنگ میشه و جوهر میده
row_78,1,در مجنوع دستگاه خوب و پرسرعتیه 
row_79,1,امروز دستم رسید بعضی از دوستان میگفتن با دکمه زوم عکس میندازه برا من اینطوری نشد کیفیت هم خوبه طلاییش هم خیلی قشنگ تره طلایی بخرین 
row_80,1,معتادش ميشين و ديگه به نقصاش دقت نميکنين و مجبورين يا گوشي نخرين يا پولتونو بدين براي IPHONE
row_81,1,سلام من چن روزیه این گوشی رو گرفتم! از لحاظ ظاهری و خوش دست بودن حرف نداره!! هر برنامه یا بازی سنگینی که خواستم رو روش نصب کردم و راحت اجرا شده! (Kombat - GTA - PES) دوربینشم خوبه! دوربین جلوش ۱۶ واقعی نیست ولی بازم خوب و راضی کنندس!! حسگر اثر انگشتش عالی و سریعه به نظرمن اگه میخواین توی این قیمت گوشی بخرین، شک نکنید که این بهترینه 
row_82,1,وای خیلی باحال بود .داستان از زبان یه روح بود که برادرش تو کودکی کشتش .روایت داستان عالی بود.کاش معلوم میشد گلنار چی شد؟
row_83,1,"من این کتاب رو نخوندم اما ازمن به شما نصیحت که برای پایداری دنبال کتاب و رفتار نباشید همه ما خوب بودن رو بلدیم همه ی ما خیانت نکردن رو بلدیم،دروغ نگفتن رو بلدیم،.کسی که مارو بخواد دنبال بهونه نیست و در هرصورت دستو پا میزنه برای نجات رابطه ....
کتاب های بهتری از عشق وجود دارن که خواندنشون لازم و اجباریه...."
row_84,0,کیفیت پایین و به خاطر پنجشنبه بودن میپذیرم اما ولی در این حد؟!!!!
row_85,0,یک ساعت و چهل دقیقه زمان برد،،، یکم غذا سرد شده بود در نتیجه یکم کره روی جوجه به دلیل سرد شدن بدمزه‌اش کرده بود، خیلی عالی نبود، ولی در کل برنج خوب بود،،، گوجه فلفل سبزی عالی بود،، کوبیده معمولی،، جوجه هم خوب بود (گرمش کردیم)
row_86,0,به نظر من کمپانيApple براي اينکه بتواند مثل هميشه برترين باشد بايد يه تغيير اساسي در شکل و ظاهر گوشي خود ببخشه چون اين شکل گوشي شايد زيبا باشه اما ديگه تکراري شده .
row_87,1,خیلی عالی بود …. اگر رستوران فلورانس شعبه گیشا-پارک گفتگو هم به زودفود اضافه کنید خیلی عالی میشه بازم ممنون
row_88,1,سرعت عکس برداری و فیلم برداری هم فوق‌العاده است.
row_89,0,عدم وجود قابليت full HD .
row_90,1,به نسبت قیمت کیفیت خوبی داشت و زمان تحویلشونم خیلی خوب بود
row_91,1,این شارژ رو دارم ولی بعضی از دوستان میگفتن صدای نویز وحشت ناکی داره ولی این که به دست من رسید اصلا صدا نداره و وقتی کنار گوشت بزاری به سختی صداشو میشنوی در مورد شارژ کردن اگه گوشیتون قابلیت فست شارژ نداشته باشه تقریبا مثل شارز معمولیه ولی بازم ارزش خرید رو داره چون یه شارژ حرفه ایی و عمریه کابلش محکم و با استحکام
row_92,1,سلام من این گوشیو نزدیک به یک ماهه که دارم و واقعا راضی هستم از خریدم البته از دیجی کالا نخریدم. این گوشی واقعا عملکرد خوبی داره و کیفیت دوربینش هم خیلی خوبه و به نظر با توجه به نظرات دوستان در مورد دوربین این گوشی. زد آب بودنش که فوق العادس و به خوبی های این گوشی اضافه شده. صفحه نمایشش در مقابل با ضربه قویه من تا حالا چندین بار این گوشیو انداختم زمین ولی الان حتی یک خش هم نداره. ظاهر پشت گوشی زیاد جذاب نیست و لنز دوربین پشتش خیلی کوچیک طراحی شده و این میتونه باعث بشه که بعضی از خریدارها از خرید این گوشی منصرف بشن. اما ظاهر جلوی گوشی خوب طراحی شده البته باید بگم که فقط رنگ مشکیش خوبه رنگ صلایی و سایر رنگ ها یکم جلوه ی گوشیو زشت میکنه البته انتخاب رنگ بندی سلیقه ایه و من قصد ندارم به سلیقه ی شما توهین کنم. باطری هم خیلی عالیه و پشتیبانی از فست شارژر باطری این گوشیو بهتر هم کرده. سایز صفحه نمایش هم برای کسانی که گوشی بزرگ دوست دارن فوق العادس خودمم به خاطر سایز صفحه نمایشش دوسش دارم. در کل این گوشی خیلی عالیه و تمام نیاز های روزانه ی شمارو برطرف میکنه. مرسی که خوندید. 
row_93,0,به این میگن کیف مخصوص نذری، ما با یه نایلون کوچولو ۳ برابر ظرفیت این نذری حمل می‌کنیم #نه_به_اشرافیت
row_94,0,"امیدوارم نتیجه این عمل بدخواهانه چین به خودکشی کمونیسم بینجامد...
#kingdomwithpahlavi
#EuPULLtheTrigger www.link.com"
row_95,1,یک شاهکار هنری دیگه در طراحی جلد کتاب.
row_96,1,قلب خانه زن ها اگر شاد باشند قلب خانه می تپد زن ها اگر موهایشان را شکل دهند ، اگر صورتشان را آرایش کنند ، اگر لباسهای شاد بپوشند زندگی در خانه جریان پیدا می کند زن ها اگر کودک درونشان هنوز شیطنت کند ، اگر شوخی کنند ، بخندند ، همه اهل خانه را به زندگی نوید می دهند
row_97,1,جنس عالی کیفیت بالا مقاوم 
row_98,0,از این برند انتظار بهتری داشتم. اثرات آن دوام زیاد ندارد. صرفا خرید در شگفت انگیز ارزش دارد.
row_99,1,داستان بسیار جالب و مفهومی بود اما خلاصه ای که برنامه طاقچه گذاشته یه اشکال کوچولویی داشت که ان شاءالله رفع میشه
row_100,0,گوشی خوبیه. کیفیت صفجه نمایش خوبه و اونظوری که دیجیکالا گفته بد نیست. باطری هم با کارکرد عادی 2 روز جواب میده   ولی معایبی هم داره.   - اندرویدش قدیمه و امکانات و دسترسی های کمی داره.  - کیفیت دوربینش اصلا خوب نیست ولی میشه تحمل کرد. دوربینش جلوش ولی افتضاحه.  - حافظه داخلیش خیلی کمه.
row_101,0,"عرض نکردم حواستون به اونا که دنبال منصرف کردن خانواده ستار بهشتی از شکایت بودن باشه!
حالا سرکار خانم داره شک میندازه تو تفسیر حرف میرحسین :))
#Money_Talks"
row_102,1,سلام به همه دوستان من خودم پارسال تابستان ps4 خریده بودم و چون این پایه رو نداشتم مجبور بودم کنسول رو فقط به حالت افقی قرار بدم و دیگه از افقی بودن کنسول خسته شده بودم اگه هم کنسول رو بدون پایه به صورت عمودی بذارین احتمال افتادن و داغون شدن دستگاه وجود داره پس این پایه رو خریداری کردم و الان بدون هیچ نگرانی از افتادن دستگاه میتونم اون رو عمودی قرار بدم تازه اینجوری جای کمتری رو هم اشغال میکنه  
row_103,0,کتاب تا صفحات ٣٥٠ خوب بود، بقیه کتاب مزخرف بود
row_104,1,امروز حجم صداشو با گوشی آیفون هم امتحان کردم و وقتی صداشو تا اخر بردم صداش اونقدر زیاد شد که گوشم درد گرفت و نتونستم اصلا تحملش کنم گوشی خودم نوت 5 هستش و با اون تا اخرین حد صداش به 70 درصد ایفون میرسه حدودا پس میزان صدا به پخش کننده بستگی داره نه هدفون البته هدفون هم سقفی داره اما سقفش اونقدر است که نتونید برای یک لحظه هم تحمل کنید   کیفیت تفکیک صداشم واقعا شگفت زدتون میکنه با یک اهنگ با کیفیت فلک امتحان کردم صداهایی ازش مینوید که هرگز با هدفون معمولی شنیده نمیشه و من اول فکر کردم صدا داره از بیرون میاد صداشو تا اخرم که زیاد کنید هیچ نویزی نداره واقعا پیشنهاد میکنم 
row_105,1,بسیار عااااااالیییی جلد۲و۴ را هم بگذارید.
row_106,0,از مارک تفال انتظار بیشتری داشتیم کیفیت خیلی پایینی داشت به نحوی که تفلونش کامل از بین رفته و غذا میچسبه بهش اصلا راضی نیستیم 
row_107,1,من چون با مدل هایی که کاملا داخل کانال گوش میرن   Earphone  راحت نیستم بعد از تحقیق و بررسی این مدل رو که از نوع تخت  Earbud  هست  انتخاب کردم   از یه هدفون با این قیمت اصلا انتظار این کیفیت فوق العاده بالا  رو نداشتم  از هدفون های اورجینال AKG همراه با سامسونگ گلکسی S8 که برای خریدنش 2 5 میلیون هزینه شده و خیلی هدفون های دیگه واقعا  قوی تر و بهتره   با این قیمت عالیه و ارزش خرید داره   کیفیت و شفافیت صدا عالیه  بیس و ترمبل استاندارده  و  اغراق شده نیست   برای دیدن فیلم با ترک صدای با کیفیت و بیت ریت بالا مثل  DTS   DOLBY  عالیه و توی شدید ترین صدا ها مثل تیراندازی و انفجار نهایت کیفیت و شفافیت حفظ میشه و هیچ نویزی نیست  برای پخش فایل های صوتی با وضوح بالا مثل FLAC  هم عالیه و میتونید از نهایت شفافیت لذت ببرید  شفافیت و کیفیت تقریبا تا آخرین حد ولوم حفظ میشه و نویز ی وجود نداره  از پلیر Foobar2000  و فایل های FLAC  استفاده کنید تا اوج قدرت و کیفیت این هدفون رو تجربه کنید   خیلی راحت توی گوش قرار میگیره  و امکان افتادن ناخواسته خیلی کمه  سایزش مناسبه  وزن سبکش باعث میشه حتی بعد از ساعت ها فیلم دیدن یا موزیک کوش دادن هیچ گونه خستگی و ناراحتی ایجاد نشه  عملا هیچ وزنی رو حس نمیکنید  زیبایی ظاهری و کیفیت ساخت هم بالاست  کیفی که تو جعبه وجود داره هم زیبا و با کیفیته و میشه برای محافظت و حمل و نقل ازش استفاده کرد  تنها چیزی که میتونست بهتر باشه قطر و ضخامت سیم هست  سیم خیلی ظریفه ولی در عین حال با کیفیته  باید موقع استفاده ازش دقت کرد وگرنه امکان خرابی و آسیب دیدن سیم و در نهایت قطعی هست   ایرپد ابری هم فقط یک جفت تو جعبه موجوده و یدک نداره   با این قیمت و کیفیت میتونه  بهترین انتخاب خصوصا برای افرادی که دنبال هدفون های تخت  هستن باشه   برند سنهایزر خیلی خوبه  در خرید این هدفون شک نکنید   
row_108,1,1 سالی میشه این رو خریدیم . خیلی خوبه . سیستم تصویر آینه ای هم خیلی خوب کار میکنه
row_109,0,راه گم بشه و دو فصل دیرتر، چله‌ی تابستون، برسه به مقصد: حالا یا باید اون همه بارون رو توی دل خودش نگه داره یا چله‌ی تابستون، زیر نور تند خورشید، بباره. این بارون به زمین نرسیده بخار می‌شه.» آخرین کام سیگار را آنقدر محکم گرفتم که بوی فیلتر توی دهانم پیچید. #علی_سلطانی
row_110,0,به وصل یا فراق تو فرشته ی عذاب من جهنم است روز و شب حال دل خراب من #همسرلوط #دلی 
row_111,1,این پورت سرعت انتقال داده‌ها‌ی به مراتب بالاتری را نسبت به پورت‌ها‌ی USB 2.0 فراهم می‌آورد.
row_112,0,پس بهتره ايرادات اين مدل رو هم مرور کنيم:1-هيچ توجه کردين اين لپ تاپ CD و DVD درايو نداره !
row_113,1,عه پس من بهشون پیام بدم 
row_114,0,من این کتابو نسخه چاپی دارم والان صفحه 400 رسیدم بعضی جاها چنان حرفایی زده شده تو کتاب برمیگردم چندبار میخونم همش فک میکنم نویسنده ی این کتاب از کجا و چطور این کلماتو پیدا کرده کنار هم چیده ولی ای کاش داستان سریع تر پیش میرفت کشش بی اندازه شحصیتهای و حرف هایی که زده میشع حوصله ادمو سر میبره الان که نظراتو خوندم دیدم که چقد ازش تعریف کردن همش به خودم شک میکنم که شاید من عجیبم که این کتاب منو زیاد جذب نکرده .این همه دوس دارن فک میکنم اگه واقعا خیلی پول نمیدادم نمی خوندمش یا از همین جا ولش میکردم
row_115,1,بدنه Sony S مانند گُوه،  یک حالت شیب داری دارد به همین دلیل وقتی آنرا روی میز قرار میدهید،  به راحتی قابل استفاده است.
row_116,1,گوشي بسيار خوبيه  رزولوشن پايين صفحه محسوس نيست تاچ خوبي داره و سخت افزارش مناسبه
row_117,1,کتاب خوبی بود، داستانهای قشنگی داشت.
row_118,0,کتابی که پنجاه درصد تخفیف داره، زیر زمینی و بدون پرداخت حق مولف و مترجم و ناشر چاپ میشه
row_119,0,خودکار خوبی نیست اگه قصد خرید خودکار دارید  lexi V10  بخرید  خرید من بسته دوتایی بود که یکی از خودکار ها کم رنگ، پررنگ مینویسه  دیجی کالا فدای سرت
row_120,1,خوشبختی یعنی پسری ده ساله که برای چهار برادرش به پشتوانه خواهرش شاخ و شانه میکشد. بعد از پدر و مادر، خواهر مقدسترین نعمت پرودگار است.
row_121,1,من بازی فارکرای 4 رو  روی pc  بازی میکردم همون  اول هاش حذف کردم چون خیلی  گیر میکرد  کیفیتش بالا بود  ولی روی این   با کیفیت فوق العاده بالا و بدون هیچ گونه   گیر کردن وَ مشکلی   خیلی راحت وَ  شکیل اجار شد   وَ   تونستم  فارکرای 4  تا آخرین مرحله اش رو برم این که میگم  شامل  کل بازی ها برای PS4 slim هستش  دم شرکت SONY گرم که این ها رو برای تفریح ما میسازن  وَ ممنون از DIGI Kala که   نظران ما رو هم  میذارن  سپاس گذار 
row_122,1,بی‌ نظیر بود باورم‌ نمیشد‌ اینقدر خوشمزه و سالم باشه
row_123,1,خیلی خوشمزس فقط کمه یکم.
row_124,0,هزینه تعویض دو دفعه کارتریج این دستگاه از قیمت خود دستگاه گرون تر میشه     
row_125,1,"مهم نیست نتیجه چی بشه. مهم اینه که راحت تسلیم نشیم تا بعد شرمنده خودمون نباشیم.
#به_داد_اساتید_دانشگاه_آزاد_برسید
#در_دانشگاه_آزاد_چه_خبر_است
#همسان_سازی_حقوق_دانشگاه_آزاد_با_وزارتین https://t.co/wiomBiAO4i"
row_126,1,من گوشی رو تازه خریدم، به هیچ وجه پیکسل های گوشی دیده نمیشود و یه سری امکاناتی که این گوشی داره رو اس3 نداره
